briccare,v. tr.,Provocare il malfunzionamento o la rottura di un dispositivo elettronico con il proprio intervento. [dall'ingl. to brick],puntata 46
buco bianco,loc. s.le m.,"Un buco nero ma di ricordi, quindi tipo il contrario",puntata 86
buco di coniglio,loc. s.le m.,“rabbit hole”,puntata 101
cacaio,s. m.,Casino assurdo fratm,puntata 91
caìgo,m.,nebbiolona,puntata 65
Califfo dell’Overreacting,loc. s.le m.,Nicolas Cage,puntata 23
Can Solo,"n. p. m., inv.","Han Solo, se solo fosse un cane",puntata 18
cansigliato,agg. [part. pass. di cansigliare],Consigliato e relativo ai cani,puntata 8
Canspada,m.,"“Sif, il grande lupo grigio con la spada” [da cane m. e spada f.]",puntata 26
carboigrizia,f.,"Particolare tipo di pigrizia, causata dai carboidrati",puntata 73
caspiteronzola,inter.,“caspita”,"Live di Dark Souls su Twitch, 13/11/20"
catzin,"f., storp. ingl.",“cutscene”,puntata 60
cazzimma americana,loc. s.le f.,Una roba che guarda non te la spiego neanche fratm. Più correttamente “cazzimma statunitense”,puntata 73
cazzimma sufficiente,loc. s.le f.,Cazzimma appropriatamente adeguata,puntata 78
chargare,v. tr.,“caricare” [dall’ingl to charge],puntata 84
chiamare cacca di bue,loc. v.,Presagire che qualcosa sarà una vaccata [dall’ingl. to call bullshit] Es. “Chiamo già cacca di bue!”,puntata 114
Chissenenews,pl.,Cose di cui non frega niente a nessuno [alla fine non così distanti dalle menews]”,puntata 86
ciau,inter.,ciao ma piemontese,aftershow 123
ciecorunnare,,blind run,
cimineira,f.,Una danza che fanno gli industriali,puntata 56
cinematico,agg.,“cinematografico” [in un videogioco] [dall’ingl. cinematic],puntata 47
ciunga,"f., plur. ciunghe",“gomma da masticare” [reg.],puntata 91
clownago,s. m.,mago in un livello di cuphead,live del 19/12 su Twitch
colonializzare,v. tr.,"""colonizzare""",puntata 126
colori vaporwave,"loc., plur.",Il particolare e indescrivibile colore della pizza dedicata a Black Future 88,puntata 73
comparazione mentale,loc. s.le f.,“metro di paragone”,puntata 84
complezionista,"s., storp.",“completista”,puntata 63
conditio sine qua non,loc. s.le,“mega prerequisito importante” [dal lat. condicio sine qua non o conditio sine qua non],puntata 103
confidenza,f.,Fiducia in se stessi [dall’ingl. confidence],puntata 60 e 81
consistenza,f.,"“costanza”, “coerenza”",puntata 70
contribuzione,"f., stor.",“contributo” puntata 55,
convoluto,agg.,“contorto” [dall’ingl. convoluted],puntata 36
copie di backup,"loc. s.le f. plur., leg.",ASSOLUTAMENTE NON GIOCHI PIRATA DEL GBA SCARICATI DAI TORRENTI TUTTO REGOLARE QUI SIGNOR POLIZIA,puntata 3
corporazione,f.,Non esattamente “corporation” [ingl.],puntata 60
correre per presidente,loc. v.le,“candidarsi alla presidenza” [dall’ingl. to run for president],puntata 88
corroborare,v. tr.,"Wow, Nik ha usato questa parola correttamente",puntata 83
corruggine,f.,Corruzione da togliere al cane robotico di Astral Chain,puntata 60
crolce (o grolce),"agg., inv.","Chiedete a Nick, e neanche lui saprà darvi una definizione.",vlog in Giappone
curioso,agg.,“idiota”,puntata 71
Debbois,n. p.,Una serie de Amazon Praim sui supereroi un po’ facdap,puntata 52
deliverare le battute,loc. v.le,Recitare le proprie battute,puntata 87
depictionare,v. tr.,“descrivere” [dall’ingl. depict],puntata 107
depressivo,agg.,“deprimente” [dall’ingl. depressive],puntata 37
detac’d,agg.,“distaccato” [dall’ingl. detached],puntata 60
DIECI PIZZE,loc.,"Il gimmick di voto segreto di Power Pizza, utilizzato per votare fortissimo cose magiche [si può usare solo una volta all’anno]",puntata 60
difittare [o defeattare],v. tr.,“sconfiggere” [dall’ingl. to defeat],
diramare,v.,Significato e origini per ora non pervenuti,puntata 89
disamina,s. f.,disanima,puntata 122
disinfettazione,f.,"""disinfezione""",puntata 126
dismembrato,agg.,"“smembrato”, ma detto da un analfabeta",puntata 76
dismissare,v. tr.,“respingere” [dall’ingl. to dismiss],puntata 114
divertimento ghighighi,loc. s.le m.,"Tipo specifico di divertimento, appunto molto ghighighi",
Docked,s.,“Guerre Stellari”,puntata 105
dominanza,f.,"“predominio”, come quello di Nick sui coinquilini in fatto di Mario Kart [dall’ingl. dominance]",puntata 54
Dottor Lamentino,m.,Titolo assegnabile a chi desidera lamentarsi,puntata 87
doxare,v. intr.,Diffondere informazioni personali [dall’inglese to dox],puntata 89
ebebebe,n.c.,Nota: Lorro non voleva che questo verso venisse inserito.,puntata 67
ebnissimo,agg. superlativo,benissimo,live di mdc_illustration del 20/12
ecsaited,n.c.,“W o w” [dall’ingl. W O W],puntata 60
ecsploitare,v.,Avvantaggiarsi dei limiti di un gioco,puntata 5
edilizia wars,,Fortnite,Live del 12/01 su Twitch
Eicbiò,n. p. f,HBO,puntata 62
embracciare,v.,"“accettare l’idea”, “abbracciare” fig. [dall’ingl. to embrace]",puntata 119
empio,agg.,“vuoto” [dall’ingl. empty],aftershow 121
endorsare,v.,“approvare” [forse] [dall’ingl. endorsement],puntata 74
Enforzare,v.,“fare rispettare”,puntata 85
ENGIAIN,m.,"Engine, “motore grafico”",puntata 83
Enpàssant,avv.,"“di sfuggita”, “accidentalmente”",puntata 106
eoni di distanza,loc.,Sicuramente una misura di spazio e non di tempo [Nik lo diceva già ai tempi de il Pube in Primo Piano],puntata 91
essere familiari con,loc. v.le,“avere familiarità con qc.” [dall’ingl. to be familiar with],puntata 6
essere in un sottaceto,loc. v.le,Essere in una situazione difficile [dall’ingl. to be in a pickle],puntata 101
essere investiti in,loc. v.le,Essere coinvolti emotivamente [dall’ingl. to be invested in],puntata 67
FACDAP,agg.,Un po' cattivelli,puntata 69
fair enough,n.c.,“severo ma giusto”,puntata 83
fare una pannocchia,loc. v.le,“regalare una pannocchia”,
festività,agg.,"Aggettivo di Festive Fog, una roba di Hades",puntata 117
fette di pizza,loc. s.le,"Il sistema di numeraggio ufficiale di Power Pizza, va da 0 a 10 [fette] e può essere accompagnato da “ingredienti” coerenti con l'oggetto della recensione, così da dare un “sapore” in più al voto. Sembra sia l'evoluzione di una modalità arcaica basata sulle ""emoji del pesce"". Es: ""Potremmo fare un sistema di votazione per Power Pizza in cui 10 su 10 è una pizza completa, 10 fette di pizza... No, è un'idea terribile"" - Sio. ""<br>"" Il sistema è in uso ancora adesso, per quanto sia stato minacciato dalla rovinosa ""Faida dei voti”""","puntata 11, puntata 34"
fiato di sospiro,loc. sl.e m.,“respiro di sollievo”,puntata 123
flexare,v.,“vantarsi” [dall’ingl. to flex],puntata 85
fornetto magico della pizza,loc. s.le m.,Forno elettrico di quelli normali che trovi in casa delle persone,puntata 121
forseshadowing,m.,Anticipazione dubbiosa,puntata 56
fraccare,v. tr.,“inserire”,puntata 26
frallappare,v. tr.,“rompere”,"live di Lorro e Dado su Twitch, 9/11/2020"
Francy,n. p. m.,"Francesco Guarnaccia, fa fumetti molto belli e parla in falsetto tipo Topolino. Anche detto anche “Fra”, “Francino” o “Checchino”.",puntata 77
frangranza,f.,"""Qualità dei grissini di Fran De Martino”",puntata 92
frisolare,v.,Scalare una parete verticale senza corde come Alex Honnold,puntata 84
fuorurlo,int.,"Shout-out, ma in italiano [dall’ingl. shout out]",puntata 51
GALAXY SPAGHETTI,n. p.,Rubrica sulla fantascienza di qualità curata da Lorro,puntata 57
gap tra le parole,loc. s.le m.,“silenzio”,puntata 77
gibberiscia,f.,“gibberish” 🦆,puntata 100
gigglare,v. intr.,“ridacchiare” [dall’ingl. to giggle],puntata 102
giù di baracca,loc.,“giù di morale”,puntata 25
glassa,"f., stor.","“galassia” Es: ""In una glassa lontana, lontana...""",puntata 45
greidato,agg.,“graded” [da color grading],puntata 106
grissini,lore,Nasce come saluto di Sio a inizio puntata (i grissini sono la prima cosa che si mangia nell'attesa della pizza) Diventa una parola osteggiata da Lorro (e una mezza ossessione per Sio) Per poi stabilizzarsi come titolo ufficiale per la sezione dedicata ai commenti,puntata 48 - puntata 49 - puntata 65
Guerre Stellari,n. p.,Ricordiamo agli ascoltatori che “Star Wars” è “Guerre Stellari”,puntata 2 e 74
Gufuomo,n. p. m.,"Il protagonista di ""Owl Boy”",puntata 4
guilty piacere,m.,“pleasure proibito”,puntata 60
gullibile,agg.,“credulone”,puntata 90 e 105
hablatore,m.,Persona che parla [dallo spagn. hablar],puntata 63
Hiartbound,n. p.,"“Earthbound”, serie di RPG nota in Giappone come “Mother""",puntata 6
hijaccare,v. tr.,"“dirottare”, “appropriarsi” [dall’ingl. to hijack]",puntata 65
ho il tuo culo,loc. v.le,Espressione usata per offrire supporto a qualcuno [dall’ingl. I've got your back],puntata 93
iconcina della notte,loc. s.le f.,Modalità non disturbare degli smartphone,
ignifugicità,agg.,Essere ignifugico🔥🧯🔥🔥🔥🔥🧯🧯😱,puntata 100
il modo di andare,loc.,La strada giusta [dall'ingl. the way to go],puntata 64
Il Pube in Primo Piano,n. p. m.,"Programma radiofonico andato in onda su Radio Ca' Foscari tra il 2008 e il 2010. I suoi conduttori erano, udite udite, Sio, Nik e Lorro! Guarda caso, le iniziali sono le stesse di Power Pizza Podcast, coincidenze? (spoiler: no) Potete ascoltare alcune delle puntate complete qui: https://www.youtube.com/playlist?list=PLii1VbqciKyL-tMh1eFA1xotIspSBYLU5",puntata 16
il tubo con i pallini,loc. s.le m.,“mais”,aftershow 118
impressionista,s.,“imitatore” [dall'ingl. impressionist],puntata 8
in bocca al culo,loc.,“buona fortuna”,
in medias res,loc.,Assolutamente non quello che vuol dire in medias res,puntata 78
ingioiare,v.,“rendere gioio” 😘😘😘😘🎶🎶🇺🇸,puntata 100
insoddisfacimm’,agg.,"“insoddisfacibile”, “insoddisfacente”",puntata 123
insolante [o insulante],m.,"""isolante” [dall'ingl. insulant]",puntata 25
insuccessibile,agg.,"Ciò che non può succedere, ""impossibile""",live di Martina del 14 gennaio 2021
introdurre,v. tr.,“presentare” [dall'ingl. to introduce],puntata 69
iperlativo,m.,Più che superlativo,puntata 102
Joe Beeden,n. p. m.,L'unica persona che ha meno memoria di un pane,puntata 88
joinare,v.,"“partecipare"" [dall’ingl. to join]",puntata 23
Joker Jouer,m.,"""il ritmo del Joker”",puntata 64
Joooooohn Cena,n. p. m.,La tizia che testimonia contro Cambridge Analytica nel documentario The great hack,puntata 90
La ciofeca di Schrödinger,loc.,"Finchè non l'hai vista, non puoi sapere se sia o no una ciofeca”",puntata 80
La controparte di spaccare le cose con le spade laser,n.c.,“beat saber”,puntata 1
La faida dei voti,n. p.,L'eterna lotta tra le pizze commestibili di Sio e quelle tematicamente adeguate ma praticamente immangiabili di Nick. Tutta colpa del commento di Nick Pezz,puntata 54
La pizza con l'ananas,lore,L'angolo della vergogna di Power Pizza,puntata 81
L'angolo dei joycon,lore,Una rubrica dedicata ai joycon? Forse. Ora come ora è solo Sio che suona l'ukulele ma può farlo solo ogni 79 puntate,puntata 79
lasciare andare l’ascia,loc. v.le,seppellire l’ascia di guerra,aftershow 123
ledges delle piattaforme,loc. s.le,I bordi delle piattaforme,puntata 105
leggere,v. tr.,"“recitare”, “dire” [dall’ingl. to read. Es: His comment reads:..]",puntata 87
legnatore,m.,Scultore del legno,puntata 89
lettore di vinili,loc. s.le m.,“giradischi”,puntata 103
link,m.,Screenshot di un testo colorato di blu (Lorro non sapeva fare i link,puntata 90
lore,f.,https=//tinyurl.com/my3ua3d (VaatiVidya),
Lorro,n. p. m.,“Non Nik”,"puntata 83, “IL MODERATORE”"
Lorrowup,lore,"Un follow-up in Power Pizza, frutto della combinazione tra la parola stessa e “Lorro”, il nome di uno degli host. Talvolta può essere istantaneo.",puntata 4
Macrabah,n. p.,Leggendaria città di Macradin,puntata 76
magestico,agg.,“maestoso” [dall’ingl. majestic],
mascherine particolari,loc. s.le f.,Mascherine molto speciali,puntata 75
maschi alfa delle weapon,loc. s.le,“americani”®,puntata 62
masterizzare,v. tr.,Raggiungere la padronanza di qualcosa [dall'ingl. to master],puntata 8
mediolino,agg.,"Non ottimina, non bassina. Mediolina.",puntata 94
mega pazzз,loc. s.le,“mega bellз” - da considerarsi con accezione positiva se si parla dei Power Pizzettars,
megaeroina,f.,"Droga assunta da Rey, essendo lei l'eroina di Star Wars IX",puntata 58
mentiroso,agg,bugiardo,puntata 125
Menews,"f., lore",Notizie talmente gustose che non c'entrano niente con le cose di cui vogliamo parlare ma ne parlo con voi perché sono molto divertito [def. di Sio],puntata 30
MMORPG,,“Multiplayer MMorpg Ojo Reference Pinal Gantasy”,puntata 111
mockare,v. tr.,“farsi beffe” [dall’ingl. to mock],puntata 96
morire forte,loc. v.le,Quando in un gioco muori tantissime volte in pochissimo tempo perchè gli avversari ti fanno un mazzo così,puntata 91
muoversi oltre,loc. v.le,“passare oltre”,puntata 56
naf ed,idiom.,Aver già detto abbastanza [dall’ingl. enough said],puntata 104
needy,agg.,"Vi prego considerateci, siamo disponibili per matrimoni e battesimi",puntata 84
networcone,m.,"“network”, ma più grosso",puntata 82
network neurale,loc. s.le m.,"Segnare le cose su un blocco note o su un documento Google [o forse il cervello di Kiarix, andate a chiederlo a Nik]",puntata 122
neutralizzato,agg.,“sterilizzato” [dall’ingl. neutered],puntata 5
Nick-a-thon,"n. p. f., lore",Leggendario evento in cui Nik intrattiene i suoi spettatori perdendo ora dopo ora la propria dignità ma aumentando la quantità di caffeina in corpo,"Varie live su twitch, inizia nella live del 10/01/2021"
nicktus,m.,Ictus che ti causa il non sapere le frasi,
Nicolino bellino,loc.,"""Nicola Bernardi” [puntata 60]. È una verdura a forma di melanzana",puntata 90
Nicolò,n. p. m.,"Il nuovo amico con cento lauree, tutte uguali MA CENTO! È bravissimo a prendere le lauree. Es: Non è Nik, è il suo sostituto culturalmente avanzato.",puntata 70
Nikbuster,n. p.,Programma televisivo mai realizzato in cui sfatare le cazzate che racconta Nik (tipo quella di elogiare la regia di Little Miss Sunshine senza averlo mai visto),puntata 77
nikkata,f.,"Una cosa tipica di Nik, tipo dire cose sbagliate o guardarsi le serie tutte di fila",puntata 88
nodeepfake.com,n. p. m.,"Produce una maschera che ti metti in faccia, è tipo fatta di maionese, così nessuno vi può riconoscere! (Usate il codice powerpizza per farvi inviare una maschera con meno maionese)",puntata 90
nomenclare,v. tr.,"Non esiste questo verbo, dannazione Nik",puntata 79
omertà,f.,"“onestà""",puntata 16
opening statement,loc. s.le,Dichiarazione d’apertura,puntata 64
oro colato dal cielo,loc.,"Contro ogni aspettativa, una cosa bella",puntata 88
outtare,v.,Rivelare l’identità di una persona terza,puntata 75
overcommittare,v.,"Impegnarsi davvero molto in qualcosa che guarda, che impegno",puntata 76
overlord benigno,loc. s.le m.,"“Elon Musk” [o Elon Musko, che dir si voglia] puntata 8]. Dalla puntata 20, “Taika Waititi”. Dalla 123, ad honorem, “Giorgio Rosa”",
overvendere,v.,NO DAVVERO BELLISSIMO NON AVETE IDEA,puntata 94
P И М И Н И [r i m i n i],n.c.,La russia dopo il global warming,puntata 76
PA TA PUUUM,onom.,Tipica caduta piemontese,
pannello,m.,“conferenza”,puntata 92
Patent Pending,,Ne posseggo i diritti sul copyright,puntata 69
perenturo,agg.,Perenne e duraturo [o peperone e avventuro] [dall’unione delle due parole],puntata 74
permeanza,f.,"“presenza”. Significato incerto, andate a chiederlo a Nick",puntata 91
pettare,v. tr.,Fare pat pat sulla testa di un gatto o cane o pollo [o altri animali] [dall’ingl. to pet],puntata 60
phsa,"s., storp. ingl.","“psa”, ma pronunciato male",puntata 121
PIESEI,"s., storp. ingl.",“PSA” [Public Service Announcement],puntata 84
Pinball,m.,“flipper”,puntata 63
pioniere,m.,“idiota”,puntata 71
piuttosto che,cong.,“oppure” [non usatelo così per piacere],puntata 89
pizzillanime,s.,Pusillanime amante dei carboidrati,puntata 81
plaggare,v. tr.,“pubblicizzare” [dall'ingl. to plug],puntata 45
Plutone,n. p.,"“Nettuno”, il pianeta, però",puntata 75
pointa e clicca,n.c.,“punta e clicca”,puntata 62
portraitare,v. tr.,"“mettere in scena”, “rappresentare”, presentarsi nei panni di qcn. [riferito a un personaggio] [dall'ingl. to portrait]",puntata 64
postclaimer,m.,"“disclaimer”, ma dopo, quindi non serve a niente",puntata 86
Power Pizza Arena,lore,Contendenti che hanno probabilmente delle opinioni contrarie si sfidano senza esclusione di colpi,puntata 92
Power Webcamming,n. p. m.,L'innovativo metodo di ripresa usato in The Mandalorian,puntata 89
proficiente,agg.,competente,live con kenobit del 21/01/2021
praio,m.,Un gruppo di tre cose (termine successivo al paio),puntata 57
preghi,"inter., storp.",“prego”,puntata 90
presso,part. pass.,“premuto”,"pre show della puntata 121, registrata il 7/12"
preterrompere,v. tr.,Interrompere qualcuno ancora prima che inizi a parlare,puntata 58
professor Lorro e l'inquisizione,"n. p., lore","Un gimmick mai utilizzato, ma solo molto paventato da Nik",puntata 53
puntare l’attenzione,loc. v.le,Portare all’attenzione di qcn.,puntata 89
qualcosa che “può farvi bagnare alcuni degli occhi che avete”,loc. s.le,Qualcosa che fa piangere,puntata 115
Quizza,lore,"Un quiz segreto che appare e scompare perchè ""il Quizza non finisce mai!! [almeno fino alla fine della puntata]"". Va annunciato con poca convinzione e il suo conduttore può essere chiamato quizzaiolo.",puntata 67
rampe anti-accesso,Significato ed origini non pervenuti,,puntata 73
responsivo,agg.,reattivo [dall’inglese responsive],live del 12/12 su Twitch
ributtare,v. tr.,Fare un “reboot”,puntata 23
ridicolarmente,avv.,In maniera ridicola,puntata 1
rilasciaggio,"m., storp.","""rilascio""",puntata 88
rischiadiavolo,n. p. m.,"""DareDevil""",puntata 17
risulto,agg.,"""risolto""",
robboso,agg.,Pieno di roba,puntata 126
rooster,,"""Roster""",puntata 82
saccate,f.,"""grandi quantità""",puntata 82
scannocchiare,v. tr.,"""dare un'occhiata"" a qcn, ""esaminarlo"". Un'espressione usata da Lorro e che rende felice Nickckk",puntata 54
scellerati,agg.,"""super folli""",puntata 75
scoassa,"f., reg.","""spazzatura"", ""rifiuto"", in lingua veneta",puntata 90
scor,m.,La colonna sonora,puntata 80
scriptato,agg.,Con alla base una sceneggiatura,puntata 25
Se mi lasci ti spaccio la famiglia,n. p.,"Titolo italiano di ""Extraction”",puntata 92
segway,"m., lore",Transizione verso un nuovo argomento [dall’ingl. segue],puntata 68
senso di Bernardi,"loc. s.le m., lore","Potere sviluppato da Sio e Lorro in seguito al morso di un ""Ragno della Crusca"" che permette loro di capire quando una frase di Nickckk è mezza inventata. Vale per qualsiasi frase pronunciata dal Bernardi",puntata 51
senso di lettere,loc. s.le m.,"""ordine alfabetico""",
sfiammare,v.,Consumare contenuti velocemente e tutti di fila,puntata 77
SFRACRAFMANSCIP,"m., storp. ingl.","""artigianato""",puntata 68
shinare una spotlait,loc. v.le,Portare l'attenzione su qualcosa,puntata 113
Skydiveare,,planare,Live del 12/01 su Twitch
Simone Albrighi e Nicola Bernardini,"n. p., storp.",Ospiti bravissimi a lamentarsi,puntata 87
Sio,"n. p. m., lore","È un medico, ha studiato mezz'oretta ieri quindi lo è [dalla puntata 1] È un milione di bambini uno sopra l'altro ed ha un chip, autoimpiantato volontariamente, che gli impedisce di parlare male della Disney/Pixar",puntata 88
sistema di numeraggio,loc. s.le m.,"""sistema di valutazione""",puntata 14
Smeshbraders,"n. p., storp.","""Super Smash Bros""",puntata 1
smoderato,agg.,"""smodato""",puntata 81
smonare,v. tr.,"""rattristare""",puntata 74
snowballare,v. intr.,"""precipitare"" [dall'ingl. snowball]",puntata 109
soffinanziare,v.,Supportare contemporaneamente il mercato delle copie fisiche e la pirateria videoludica,puntata 3
sotterficie,f.,"Dimensione opposta alla superficie [Es.: ""Non è gentile lasciare le gomme da masticare sulla sotterficie di un tavolo""]. Da non confondere con la ""sottoficie""",puntata 65
sottofiaba,f.,Undertale,puntata 124
sottoficie,f.,"""sottoterra"", ""ipogeo"". Da non confondere con la ""sotterficie""",puntata 3
sottoscrivere,v. intr.,"""iscriversi"" [Dall'ingl. to subscribe]",puntata 70
Speedy Pizza,"n. p. f., lore","Nasce come commento rapido sulle puntate di ""love death and robots” dalla puntata 37] e poi diventa il nome per mini recensioni molto veloci (o quickies)",puntata 65
spezzetti,"pl., inv.","Nuova parola inventata insieme a ""girulli"" e ""topi nel naso"", da non confondere con ""spezzettoni""",
spezzettoni,pl.,"Spezzatino di argomenti, gusto brasato",puntata 65
Spiderman,n. p. m.,"Il cane di Mimmo, il giornalaio pallavolista. Potrebbe chiamarsi anche Marcello o Filippo",puntata 87
spighereltelline,pl.,Significato non pervenuto. (Sio ne è il re),puntata 89
spinzettarsi,v. rifl.,Farsi i peli con estrema foga o trasporto,puntata 105
sproloquio,m.,cfr. le Nikuotes,puntata 78
Stati Uniti del Giappone,n. p. ,"""Giappone""",puntata 87
studio di carattere,loc. s.le m.,"""studio del personaggio"" [dall'ingl. character study]",puntata 60
stunnare,v. tr.,"""stordire"" [dall’ingl. stun]",puntata 60
suicidesquadare,v. tr.,"Ingannare gli acquirenti di DVD coprendo il titolo di ""Suicide Squad"" con una fascetta enorme recante la scritta ""il vincitore dell'oscar per hair e make up"". In inglese il verbo è irregolare: ""you just got suicidesquadded""",puntata 81
suona una campana,loc. v.le,"""ricorda qualcosa"" [dall’ingl. ""rings a bell]",aftershow 121
SuperDoge,n. p.,"La suprema magistratura della Repubblica di Venezia, ruolo ricoperto da Lorro nel suo periodo universitario. Ha due cappelli. Sembra che il titolo gli sia stato confiscato perché è scemo",puntata 28
SuperNormie,n. p.,"""normie"", ma super",puntata 64
supervisare,"v. tr., storp.",“supervisionare” detto da un ubriaco,puntata 18
supportivo,agg.,"""solidale"", ""incoraggiante"", che sostiene [dall’ingl. supportive]",puntata 77
sushi,"m., lore",Una cosa (argomento) che non c’entra niente con niente,puntata 91
svernare,v. tr.,"""scongelare"", ""svecchiare""",puntata 45
svolantino,agg.,"""svolazzante""",puntata 24
Taika Waititi,"n. p. m., lore",L’amichetto migliore di Nik,puntata 89
taiti,"agg., pl.","Riferito a dei dialoghi, ""serrati""",puntata speciale #2
Tanocchio il Mostro Violocchio,n. p. m.,"Adattamento italiano di ""Thanos""",puntata 8
targhettare,v. tr.,Indirizzare verso un destinatario (o gruppo di destinatari) specifico [dall'ingl. to target],puntata 85
teatro,m.,Cinema dei professoroni,puntata 81
Teich,n. p. m.,"""Twitch""",Discord
tempo climatico,loc. s.le m.,"""tempo atmosferico""",puntata 63
testamenteo,m.,"""testimonianza"" [dall’ingl. testament]",puntata 45
testasù,m.,"""una dritta"" [dall’ingl. heads up]",aftershow 121
timely,agg.,"""temposo"" ➡️➡️➡️▪️▪️▪️▪️😱👈🎶🎶🎶👇😱",puntata 100
titillare l’anima,loc. v.le,Rendere felici internamente,puntata 103
to powerpiz,"v., inv., leg.",“ascoltare Power Pizza”,puntata 115
Tony Freddissimi,n. p. m.,Il gangster mafioso preferito da Michael Mann dalla,puntata 24
topico,agg.,Come metti le creme,puntata 88
trackare,v. tr.,"""seguire"" nello spazio",puntata 63
tranquiscienza,f.,"Fantascienza tranquilla (nella prosa). Se i contenuti sono inquietanti può diventare ""distopia buffa"" (come nel caso di QualityLand)",puntata 82
trascinamento,m.,"""trasporto"" (nel senso di ""enfasi"")",puntata 90
triggerare,v. intr.,"""lavorare"" per lo studio Trigger",puntata 82
triviale,agg.,"""quotidiano""",puntata 36
trovarsi in un cetriolo,loc. v.le,Essere nei pasticci [dall'ingl. to be in a pickle],puntata 118
TRU FACTS OF THE SINEMA,"loc. s.le pl., storp. ingl.","""trivia generici""",puntata 79
tubicini di gomma premium,loc. s.le pl.,Sono fatti di gomma di metallo ed hanno sopra cento chili di salamino,puntata 90
turboscemə,agg.,"""molto scemə"". Da usare in modo affettuoso se rivolto ai power pizzettars",
tuta dell’ossigeno,loc. s.le f.,"""tuta spaziali""",puntata 75
un centottanta,n.c.,Mezzo trecentosessanta,puntata 85
unanimamente,agg.,"""unanimemente""",puntata 82
unapologetical,n.c.,"""anti-scusante""",
unappare,v.,Servirsi del discorso di qualcuno per entrare a gamba tesa ed intervenire,puntata 60
uncursare,v.,Rimuovere una maledizione,
unsubscribere,v.,"""disiscriversi"" [dall'ingl. to unsubcribe]",
uwu,n.c.,"Un'emoji usata per essere cute, ma allo stesso tempo è considerata peccato in internet.",puntata 102
valore di faccia,loc. s.le m.,"Valore superficiale, valore di facciata [dall'ingl. face value]",puntata 92
vettovaglie,pl.,"""stoviglie""",Nick su discord
viabile,agg.,"""praticabile"", ""attuabile ""[dall'ingl. viable]. Credevo sinceramente che questa parola venisse usata così in italiano","puntata 86 ma Lorro la sbaglia prima, nella puntata 71"
visuale a occhio d’uccello,"loc. s.le f., lore","""visuale a volo d’uccello""",puntata 50
weaponizzare,v.,Trasformare un oggetto in arma (di sicuro una bellissima parola della lingua italiana),puntata 17
whipuppare,v.,"""montare"", ""mescolare""",live del 7/12 su Twitch
WOOOOW,inter.,"""wow""",puntata 76
